Yaw_Set_ID,WD,WS,TI,Farm_Power_kW,Yaw_T0,Power_T0,Yaw_T1,Power_T1,Yaw_T2,Power_T2,Yaw_T3,Power_T3
0,270.0,8.0,0.05,4487.529659540878,0.0,1753.954459179171,0.0,1753.954459179171,0.0,489.55136295415315,0.0,490.0693782283826
0,270.0,8.0,0.08750000000000001,5049.408484512711,0.0,1753.954459179171,0.0,1753.954459179171,0.0,770.6244985843077,0.0,770.8750675700612
0,270.0,8.0,0.125,5512.929205544319,0.0,1753.954459179171,0.0,1753.954459179171,0.0,1002.4545151760628,0.0,1002.5657720099147
0,270.0,8.0,0.16250000000000003,5816.941960688595,0.0,1753.954459179171,0.0,1753.954459179171,0.0,1154.4883001881751,0.0,1154.5447421420777
0,270.0,8.0,0.2,6048.598351216782,0.0,1753.954459179171,0.0,1753.954459179171,0.0,1270.3260642866169,0.0,1270.3633685718232
0,270.0,9.0,0.05,6412.764885152101,0.0,2496.427861835767,0.0,2496.427861835767,0.0,709.6643468204607,0.0,710.2448146601057
0,270.0,9.0,0.08750000000000001,7218.799481232385,0.0,2496.427861835767,0.0,2496.427861835767,0.0,1112.8314796199227,0.0,1113.112277940928
0,270.0,9.0,0.125,7816.007578381792,0.0,2496.427861835767,0.0,2496.427861835767,0.0,1411.496282060712,0.0,1411.6555726495458
0,270.0,9.0,0.16250000000000003,8270.323345499135,0.0,2496.427861835767,0.0,2496.427861835767,0.0,1638.6902502446171,0.0,1638.7773715829837
0,270.0,9.0,0.2,8616.23934950924,0.0,2496.427861835767,0.0,2496.427861835767,0.0,1811.662495296838,0.0,1811.7211305408684
0,270.0,10.0,0.05,8831.500396904425,0.0,3417.7970050915737,0.0,3417.7970050915737,0.0,997.5213976995215,0.0,998.3849890217557
0,270.0,10.0,0.08750000000000001,9872.327077407987,0.0,3417.7970050915737,0.0,3417.7970050915737,0.0,1518.1632652669034,0.0,1518.5698019579356
0,270.0,10.0,0.125,10738.26063763936,0.0,3417.7970050915737,0.0,3417.7970050915737,0.0,1951.2188896418168,0.0,1951.4477378143938
0,270.0,10.0,0.16250000000000003,11368.721319684757,0.0,3417.7970050915737,0.0,3417.7970050915737,0.0,2266.5056198741718,0.0,2266.621689627438
0,270.0,10.0,0.2,11799.413593743893,0.0,3417.7970050915737,0.0,3417.7970050915737,0.0,2481.8774278109927,0.0,2481.942155749753
0,270.0,11.0,0.05,11741.826818804064,0.0,4519.404307286192,0.0,4519.404307286192,0.0,1350.9677261682552,0.0,1352.050478063424
0,270.0,11.0,0.08750000000000001,13196.496553387487,0.0,4519.404307286192,0.0,4519.404307286192,0.0,2078.583846801876,0.0,2079.1040920132277
0,270.0,11.0,0.125,14276.72145861981,0.0,4519.404307286192,0.0,4519.404307286192,0.0,2618.812977262405,0.0,2619.099866785021
0,270.0,11.0,0.16250000000000003,15124.125811703847,0.0,4519.404307286192,0.0,4519.404307286192,0.0,3042.5859867566055,0.0,3042.731210374857
0,270.0,11.0,0.2,15701.933060053567,0.0,4519.404307286192,0.0,4519.404307286192,0.0,3331.521803055788,0.0,3331.6026424253937
0,272.5,8.0,0.05,4853.663571660562,0.0,1753.954459179171,0.0,1753.954459179171,0.0,675.6835542781682,0.0,670.0710990240523
0,272.5,8.0,0.08750000000000001,5297.998635475314,0.0,1753.954459179171,0.0,1753.954459179171,0.0,896.8666501387412,0.0,893.2230669782302
0,272.5,8.0,0.125,5647.950800065548,0.0,1753.954459179171,0.0,1753.954459179171,0.0,1070.9203258260561,0.0,1069.1215558811505
0,272.5,8.0,0.16250000000000003,5897.429569473993,0.0,1753.954459179171,0.0,1753.954459179171,0.0,1195.3062935239743,0.0,1194.2143575916773
0,272.5,8.0,0.2,6106.006810684809,0.0,1753.954459179171,0.0,1753.954459179171,0.0,1299.3688179204541,0.0,1298.729074406013
0,272.5,9.0,0.05,6948.472417558869,0.0,2496.427861835767,0.0,2496.427861835767,0.0,982.0511129430536,0.0,973.5655809442818
0,272.5,9.0,0.08750000000000001,7520.247087729152,0.0,2496.427861835767,0.0,2496.427861835767,0.0,1266.1187304390985,0.0,1261.2726336185185
0,272.5,9.0,0.125,8012.507868307366,0.0,2496.427861835767,0.0,2496.427861835767,0.0,1511.1495379792389,0.0,1508.5026066565938
0,272.5,9.0,0.16250000000000003,8394.961166996183,0.0,2496.427861835767,0.0,2496.427861835767,0.0,1701.8017621774568,0.0,1700.3036811471925
0,272.5,9.0,0.2,8706.214106551297,0.0,2496.427861835767,0.0,2496.427861835767,0.0,1857.1687517845255,0.0,1856.1896310952368
0,272.5,10.0,0.05,9491.525097261892,0.0,3417.7970050915737,0.0,3417.7970050915737,0.0,1333.6890268675136,0.0,1322.2420602112313
0,272.5,10.0,0.08750000000000001,10303.622808372804,0.0,3417.7970050915737,0.0,3417.7970050915737,0.0,1737.308263630157,0.0,1730.7205345594987
0,272.5,10.0,0.125,11018.545811215748,0.0,3417.7970050915737,0.0,3417.7970050915737,0.0,2093.333906907981,0.0,2089.6178941246203
0,272.5,10.0,0.16250000000000003,11531.445107636824,0.0,3417.7970050915737,0.0,3417.7970050915737,0.0,2348.8992184518097,0.0,2346.9518790018674
0,272.5,10.0,0.2,11905.771549427485,0.0,3417.7970050915737,0.0,3417.7970050915737,0.0,2535.762901545396,0.0,2534.41463769894
0,272.5,11.0,0.05,12668.6927809685,0.0,4519.404307286192,0.0,4519.404307286192,0.0,1823.053636362786,0.0,1806.8305300333307
